text,read_code,read_term
"Arthropathy associated with mycoses, of the hand",N0164,"Arthropathy associated with mycoses, of the hand"
"Arthropathy associated with mycoses, of the pelvic region and thigh",N0165,"Arthropathy associated with mycoses, of pelvic region/thigh"
"Arthropathy associated with mycoses, of the ankle and/or foot",N0167,"Arthropathy associated with mycoses, of the ankle and foot"
"Arthropathy associated with mycoses, of multiple sites",N016x,"Arthropathy associated with mycoses, of multiple sites"
Reactive arthropathy of shoulder,N01w0,Reactive arthropathy of shoulder
Reactive arthropathy of sternoclavicular joint,N01w1,Reactive arthropathy of sternoclavicular joint
Reactive arthropathy of acromioclavicular joint,N01w2,Reactive arthropathy of acromioclavicular joint
Reactive arthropathy of elbow,N01w3,Reactive arthropathy of elbow
Reactive arthropathy of distal radioulnar joint,N01w4,Reactive arthropathy of distal radio-ulnar joint
Reactive arthropathy of wrist,N01w5,Reactive arthropathy of wrist
Reactive arthropathy of metacarpophalangeal joint,N01w6,Reactive arthropathy of MCP joint
Reactive arthropathy of proximal interphalangeal joint of finger,N01w7,Reactive arthropathy of PIP joint of finger
Reactive arthropathy of distal interphalangeal joint of finger,N01w8,Reactive arthropathy of DIP joint of finger
Reactive arthropathy of hip,N03x9,"Arthritis associated with other disease, hip"
Reactive arthropathy of sacroiliac joint,N01wA,Reactive arthropathy of sacro-iliac joint
Reactive arthropathy of knee,N01wB,Reactive arthropathy of knee
Reactive arthropathy of tibiofibular joint,N01wC,Reactive arthropathy of tibio-fibular joint
Reactive arthropathy of ankle,N01wD,Reactive arthropathy of ankle
Reactive arthropathy of subtalar joint,N01wE,Reactive arthropathy of subtalar joint
Reactive arthropathy of talonavicular joint,N01wF,Reactive arthropathy of talonavicular joint
Reactive arthropathy of 1st metatarsophalangeal joint,N01wH,Reactive arthropathy of 1st MTP joint
Reactive arthropathy of lesser metatarsophalangeal joint,N01wJ,Reactive arthropathy of lesser MTP joint
Reactive arthropathy of interphalangeal joint of toe,N01wK,Reactive arthropathy of IP joint of toe
Chondrocalcinosis due to dicalcium phosphate crystals,N020.,Chondrocalcinosis due to dicalcium phosphate crystals
"Chondrocalcinosis due to dicalcium phosphate crystals, of the shoulder region",N0201,"Chondrocalcinosis-dicalcium phosphate, of shoulder region"
"Chondrocalcinosis due to dicalcium phosphate crystals, of the hand",N0204,"Chondrocalcinosis-dicalcium phosphate, of the hand"
"Chondrocalcinosis due to dicalcium phosphate crystals, of the pelvic region and thigh",N0205,"Chondrocalcinosis-dicalcium phosphate, of pelvic/thigh"
"Chondrocalcinosis due to dicalcium phosphate crystals, of the ankle and foot",N0207,"Chondrocalcinosis-dicalcium phosphate, of the ankle and foot"
"Chondrocalcinosis due to dicalcium phosphate crystals, of multiple sites",N020x,"Chondrocalcinosis-dicalcium phosphate, of multiple sites"
Chondrocalcinosis due to pyrophosphate crystals,N021.,Chondrocalcinosis due to pyrophosphate crystals
"Chondrocalcinosis due to pyrophosphate crystals, of the shoulder region",N0211,"Chondrocalcinosis-pyrophosphate crystals, of shoulder region"
"Chondrocalcinosis-pyrophosphate crystals, of the hand",N0214,"Chondrocalcinosis-pyrophosphate crystals, of the hand"
"Chondrocalcinosis due to pyrophosphate crystals, of the pelvic region and thigh",N0215,"Chondrocalcinosis-pyrophosphate crystals, of pelvic/thigh"
"Chondrocalcinosis due to pyrophosphate crystals, of the ankle and foot",N0217,"Chondrocalcinosis-pyrophosphate crystals, of ankle and foot"
"Chondrocalcinosis due to pyrophosphate crystals, of multiple sites",N021x,"Chondrocalcinosis-pyrophosphate crystals, of multiple sites"
Gouty arthritis of the shoulder region,N0231,Gouty arthritis of the shoulder region
Gouty arthritis of the hand,N0234,Gouty arthritis of the hand
Gouty arthritis of the pelvic region and thigh,N0235,Gouty arthritis of the pelvic region and thigh
Gouty arthritis of the ankle and/or foot,N0237,Gouty arthritis of the ankle and foot
Gouty arthritis of multiple sites,N023x,Gouty arthritis of multiple sites
Diabetic hand syndrome,N0300,Diabetic cheiroarthropathy
Neuropathic arthropathy due to diabetes mellitus,N0301,Diabetic Charcot arthropathy
Arthropathy associated with non-infective gastrointestinal disorder,N031.,Arthropathy assoc with non-infect gastrointestinal disorders
Arthropathy in ulcerative colitis,N0310,Arthropathy in ulcerative colitis
Arthropathy in Crohn's disease,N0311,Arthropathy in Crohn's disease
Arthropathy associated with dermatological disorder,N033.,Arthropathy associated with dermatological disorders
Arthropathy associated with respiratory disorder,N034.,Arthropathy associated with respiratory disorders
Post-infective arthropathy in syphilis,N0381,Postinfective arthropathy in syphilis
Rheumatoid arthritis of cervical spine,N0400,Rheumatoid arthritis of cervical spine
Rheumatoid arthritis of shoulder,N0402,Rheumatoid arthritis of shoulder
Rheumatoid arthritis of sternoclavicular joint,N0403,Rheumatoid arthritis of sternoclavicular joint
Rheumatoid arthritis of acromioclavicular joint,N0404,Rheumatoid arthritis of acromioclavicular joint
Rheumatoid arthritis of elbow,N0405,Rheumatoid arthritis of elbow
Rheumatoid arthritis of distal radioulnar joint,N0406,Rheumatoid arthritis of distal radio-ulnar joint
Rheumatoid arthritis of wrist,N0407,Rheumatoid arthritis of wrist
Rheumatoid arthritis of metacarpophalangeal joint,N0408,Rheumatoid arthritis of MCP joint
Rheumatoid arthritis of proximal interphalangeal joint of finger,N0409,Rheumatoid arthritis of PIP joint of finger
Rheumatoid arthritis of distal interphalangeal joint of finger,N040A,Rheumatoid arthritis of DIP joint of finger
Rheumatoid arthritis of hip,N040B,Rheumatoid arthritis of hip
Rheumatoid arthritis of sacroiliac joint,N040C,Rheumatoid arthritis of sacro-iliac joint
Rheumatoid arthritis of knee,N040D,Rheumatoid arthritis of knee
Rheumatoid arthritis of tibiofibular joint,N040E,Rheumatoid arthritis of tibio-fibular joint
Rheumatoid arthritis of ankle,N040F,Rheumatoid arthritis of ankle
Rheumatoid arthritis of subtalar joint,N040G,Rheumatoid arthritis of subtalar joint
Rheumatoid arthritis of talonavicular joint,N040H,Rheumatoid arthritis of talonavicular joint
Rheumatoid arthritis of first metatarsophalangeal joint,N040K,Rheumatoid arthritis of 1st MTP joint
Rheumatoid arthritis of lesser metatarsophalangeal joint,N040L,Rheumatoid arthritis of lesser MTP joint
Rheumatoid arthritis of interphalangeal joint of toe,N040M,Rheumatoid arthritis of IP joint of toe
Flare of rheumatoid arthritis,N040T,Flare of rheumatoid arthritis
Monarticular juvenile rheumatoid arthritis,N0433,Monarticular juvenile rheumatoid arthritis
Juvenile arthritis in Crohn disease,N0453,Juvenile arthritis in Crohn's disease
Juvenile arthritis in ulcerative colitis,N0454,Juvenile arthritis in ulcerative colitis
Degenerative joint disease involving multiple joints,N050.,Generalised osteoarthritis - OA
Secondary multiple arthrosis,N0505,Secondary multiple arthrosis
Erosive osteoarthrosis,N0506,Erosive osteoarthrosis
"Localised, primary osteoarthritis",N051.,"Localised, primary osteoarthritis"
"Localised, primary osteoarthritis of the shoulder region",N0511,"Localised, primary osteoarthritis of the shoulder region"
"Localised, primary osteoarthritis of the hand",N0514,"Localised, primary osteoarthritis of the hand"
"Localised, primary osteoarthritis of the pelvic region and thigh",N0515,"Localised, primary osteoarthritis of the pelvic region/thigh"
"Localized, primary osteoarthritis of the ankle and/or foot",N0517,"Localised, primary osteoarthritis of the ankle and foot"
"Primary coxarthrosis, bilateral",N0519,"Primary coxarthrosis, bilateral"
"Coxarthrosis resulting from dysplasia, bilateral",N051A,"Coxarthrosis resulting from dysplasia, bilateral"
"Primary gonarthrosis, bilateral",N051B,"Primary gonarthrosis, bilateral"
"Primary arthrosis of first carpometacarpal joints, bilateral",N051C,"Primary arthrosis of first carpometacarpal joints, bilateral"
"Localised, secondary osteoarthritis",N052.,"Localised, secondary osteoarthritis"
"Localised, secondary osteoarthritis of the shoulder region",N0521,"Localised, secondary osteoarthritis of the shoulder region"
"Localized, secondary osteoarthritis of the hand",N0524,"Localised, secondary osteoarthritis of the hand"
"Localized, secondary osteoarthritis of the ankle and/or foot",N0527,"Localised, secondary osteoarthritis of the ankle and foot"
"Post-traumatic coxarthrosis, bilateral",N0529,"Post-traumatic coxarthrosis, bilateral"
"Post-traumatic gonarthrosis, bilateral",N052A,"Post-traumatic gonarthrosis, bilateral"
"Post-traumatic arthrosis of first carpometacarpal joints, bilateral",N052B,Post-traumatic arthrosis of first carpometacarpal jt bilat
Kashin-Beck disease of the shoulder region,N0601,Kaschin-Beck disease of the shoulder region
Kashin-Beck disease of the hand,N0604,Kaschin-Beck disease of the hand
Kashin-Beck disease of the pelvic region and thigh,N0605,Kaschin-Beck disease of the pelvic region and thigh
Kashin-Beck disease of the ankle and/or foot,N0607,Kaschin-Beck disease of the ankle and foot
Kashin-Beck disease of multiple sites,N0609,Kaschin-Beck disease of multiple sites
Traumatic arthropathy of the shoulder region,N0611,Traumatic arthropathy of the shoulder region
Traumatic arthropathy of the hand,N0614,Traumatic arthropathy of the hand
Traumatic arthropathy of the pelvic region and thigh,N06z5,"Arthropathy NOS, of the pelvic region and thigh"
Traumatic arthropathy of the ankle and/or foot,N0617,Traumatic arthropathy of the ankle and foot
Traumatic arthropathy of multiple sites,N0619,Traumatic arthropathy of multiple sites
Traumatic arthropathy of shoulder,N061A,Traumatic arthropathy of shoulder
Traumatic arthropathy of sternoclavicular joint,N061B,Traumatic arthropathy of sternoclavicular joint
Traumatic arthropathy of acromioclavicular joint,N061C,Traumatic arthropathy of acromioclavicular joint
Traumatic arthropathy-elbow,N061D,Traumatic arthropathy-elbow
Traumatic arthropathy of distal radioulnar joint,N061E,Traumatic arthropathy of distal radio-ulnar joint
Traumatic arthropathy-wrist,N061F,Traumatic arthropathy-wrist
Traumatic arthropathy of metacarpophalangeal joint,N061G,Traumatic arthropathy of MCP joint
Traumatic arthropathy of proximal interphalangeal joint of finger,N061H,Traumatic arthropathy of PIP joint of finger
Traumatic arthropathy of distal interphalangeal joint of finger,N061J,Traumatic arthropathy of DIP joint of finger
Traumatic arthropathy-hip,N061K,Traumatic arthropathy-hip
Traumatic arthropathy of sacroiliac joint,N061L,Traumatic arthropathy of sacro-iliac joint
Traumatic arthropathy-knee,N061M,Traumatic arthropathy-knee
Traumatic arthropathy of tibiofibular joint,N061N,Traumatic arthropathy of tibio-fibular joint
Traumatic arthropathy-ankle,N061P,Traumatic arthropathy-ankle
Traumatic arthropathy of subtalar joint,N061Q,Traumatic arthropathy of subtalar joint
Traumatic arthropathy of talonavicular joint,N061R,Traumatic arthropathy of talonavicular joint
Traumatic arthropathy of 1st metatarsophalangeal joint,N061T,Traumatic arthropathy of 1st MTP joint
Traumatic arthropathy of lesser metatarsophalangeal joint,N061U,Traumatic arthropathy of lesser MTP joint
Traumatic arthropathy of interphalangeal joint of toe,N061V,Traumatic arthropathy of IP joint of toe
Allergic arthritis of the shoulder region,N0621,Allergic arthritis of the shoulder region
Allergic arthritis of the hand,N0624,Allergic arthritis of the hand
Allergic arthritis of the pelvic region and thigh,N0625,Allergic arthritis of the pelvic region and thigh
Allergic arthritis of the ankle and/or foot,N0627,Allergic arthritis of the ankle and foot
Allergic arthritis of multiple sites,N0629,Allergic arthritis of multiple sites
Climacteric arthritis of the shoulder region,N0631,Climacteric arthritis of the shoulder region
Climacteric arthritis of the hand,N0634,Climacteric arthritis of the hand
Climacteric arthritis of the pelvic region and thigh,N0635,Climacteric arthritis of the pelvic region and thigh
Climacteric arthritis of the ankle and/or foot,N0637,Climacteric arthritis of the ankle and foot
Climacteric arthritis of multiple sites,N0639,Climacteric arthritis of multiple sites
Transient arthropathy of the shoulder region,N0641,Transient arthropathy of the shoulder region
Transient arthropathy of the hand,N0644,Transient arthropathy of the hand
Transient arthropathy of the pelvic region and thigh,N0645,Transient arthropathy of the pelvic region and thigh
Transient arthropathy of the ankle and/or foot,N0647,Transient arthropathy of the ankle and foot
Transient arthropathy of multiple sites,N0649,Transient arthropathy of multiple sites
Transient arthropathy of shoulder,N064A,Transient arthropathy of shoulder
Transient arthropathy of sternoclavicular joint,N064B,Transient arthropathy of sternoclavicular joint
Transient arthropathy of acromioclavicular joint,N064C,Transient arthropathy of acromioclavicular joint
Transient arthropathy of elbow joint,N064D,Transient arthropathy-elbow
Transient arthropathy of distal radioulnar joint,N064E,Transient arthropathy of distal radio-ulnar joint
Transient arthropathy-wrist,N064F,Transient arthropathy-wrist
Transient arthropathy of metacarpophalangeal joint,N064G,Transient arthropathy of MCP joint
Transient arthropathy of proximal interphalangeal joint of finger,N064H,Transient arthropathy of PIP joint of finger
Transient arthropathy of distal interphalangeal joint of finger,N064J,Transient arthropathy of DIP joint of finger
Transient arthropathy of sacroiliac joint,N064L,Transient arthropathy of sacro-iliac joint
Transient arthropathy-knee,N064M,Transient arthropathy-knee
